name,chain,lat,lon,address,source_url
CIRCLE K TRYSIL,Circle K,61.3154,12.261463,"Storvegen 2, 2420, Trysil",https://www.circlek.no/station/53119
YX Bømlo,YX,59.6049,5.23217,"Hovlandsvegen 151, 5443 BØMLO",https://www.yx.no/stasjon/yx-b-mlo-10400618
YX Vestre Jakobselv,YX,70.1065,29.3452,"Nordvarangerveien 650, 9802 VESTRE JAKOBSELV",https://www.yx.no/stasjon/yx-vestre-jakobselv-10400862
YX Vang i Valdres,YX,61.1303,8.54216,"Tyinvegen 5340, 2975 VANG I VALDRES",https://www.yx.no/stasjon/yx-vang-i-valdres-10400067
YX Ulvsvåg (automat),YX,68.1148,15.8668,"Hamarøyveien 5679, 8276 ULVSVÅG",https://www.yx.no/stasjon/yx-ulvsvag-automat-10400537
Bunker Oil Kristiansund,Bunker Oil,63.118269,7.822814,"Pilotveien 1, , ",https://bunkeroil.no/en/map-petrol-stations
YX Selbu,YX,63.2503,11.0948,"Uglmoene 4, 7580 SELBU",https://www.yx.no/stasjon/yx-selbu-10400575
YX Åse,YX,69.0103,15.7638,"Åseveien 419, 8484 RISØYHAMN",https://www.yx.no/stasjon/yx-ase-10400597
CIRCLE K AUTOMAT HATTENG,Circle K,69.26788,19.96171,"Elvestrandveien 1, 9046, Oteren",https://www.circlek.no/station/55616
YX Otnes,YX,61.7564,11.1773,"Gamle Kongevei 2443, 2485 RENDALEN",https://www.yx.no/stasjon/yx-otnes-10400896
YX Grong,YX,64.4649,12.3158,"Trøahaugveien 2, 7870 GRONG",https://www.yx.no/stasjon/yx-grong-10400314
CIRCLE K AUTOMAT SANDNESSJØEN,Circle K,66.00728,12.576281,"Novikveien 115B, 8802, Sandnessjøen",https://www.circlek.no/station/55385
Bunker Oil Florø,Bunker Oil,61.6002957,5.0216279,"Strandavegen 19, 6905, Florø",https://bunkeroil.no/en/map-petrol-stations
YX Silsand,YX,69.2356,17.9299,"Laukhellaveien 96, 9303 SILSAND",https://www.yx.no/stasjon/yx-silsand-10400553
CIRCLE K AUTOMAT TANA,Circle K,70.201399,28.185745,"Deatnodearbmi 6, 9845, Tana",https://www.circlek.no/station/55400
Bunker Oil Tafjord,Bunker Oil,62.232945,7.417128,"Fv92, 6213, Tafjord",https://bunkeroil.no/en/map-petrol-stations
YX Sand,YX,59.4833,6.24962,"Verven 5, 4230 SAND",https://www.yx.no/stasjon/yx-sand-10400608
CIRCLE K KAUTOKEINO,Circle K,69.021255,23.04784,"Fievroluodda 3, 9520, Kautokeino",https://www.circlek.no/station/52747
YX Hattfjelldal (automat),YX,65.5957,13.9883,"O.T Olsens vei 12, 8692 HATTFJELLDAL",https://www.yx.no/stasjon/yx-hattfjelldal-automat-10400582
CIRCLE K AUTOMAT  EVJE,Circle K,58.57923,7.788771,"Bjoråvegen 2, 4735, Evje",https://www.circlek.no/station/57006
CIRCLE K KARASJOK,Circle K,69.47162,25.510025,"Suomageaidnu 1, 9730, Karasjok",https://www.circlek.no/station/54326
CIRCLE K AUTOMAT NORDBERG,Circle K,61.912064,8.112649,"Skjåkvegen 2108, 2693, Nordberg",https://www.circlek.no/station/51327
CIRCLE K TRUCK KONGSVINGER,Circle K,60.193832,12.032988,"Masterudvegen 23, 2211, Kongsvinger",https://www.circlek.no/station/56066
CIRCLE K RØROS,Circle K,62.56651,11.372521,"Havsjøveien 7, 7374, Røros",https://www.circlek.no/station/52574
CIRCLE K E6 NARVIK,Circle K,68.41036,17.428078,"Fagernesveien 142, 8514, Narvik",https://www.circlek.no/station/54296
YX Vardø (automat),YX,70.3748,31.0988,"Skagveien 2, 9950 VARDØ",https://www.yx.no/stasjon/yx-vard-automat-10400894
CIRCLE K REINE,Circle K,67.93468,13.08882,"Reinevn 84, 8390, Reine",https://www.circlek.no/station/53922
Joker Træna,Joker,66.50116903026058,12.101401289033662,"Janesvågen 6, 8770 TRÆNA",https://joker.no/finn-butikk/joker-trana
CIRCLE K SANDSLI,Circle K,60.29222,5.28647,"Sandslivegen 11, 5254, Sandsli",https://www.circlek.no/station/53975
CIRCLE K AUTOMAT KJØLLEFJORD,Circle K,70.94472,27.315178,"Strandvegen 1, 9790, Kjøllefjord",https://www.circlek.no/station/54194
YX Burfjord,YX,69.9406,22.0508,"Strandveien 2, 9161 BURFJORD",https://www.yx.no/stasjon/yx-burfjord-10400892
CIRCLE K ALVDAL,Circle K,62.118341,10.613766,"Nord-østerdalsveien 5196, 2560, Alvdal",https://www.circlek.no/station/52396
CIRCLE K STOKMARKNES,Circle K,68.571094,14.946529,"Industriveien 2, 8450, Stokmarknes",https://www.circlek.no/station/54348
CIRCLE K TRUCK FAUSKE,Circle K,67.27219,15.398072,"Follaveien 86, 8208, Fauske",https://www.circlek.no/station/55525
Uno-X 7-Eleven Nes i Ådal,Uno-X,60.56209,9.99718,"Ådalsveien 1161, 3524, NES I ÅDAL",https://unox.no/finn-uno-x/lokasjon/10500211
YX Storforshei,YX,66.4036,14.5336,"Malmgata 41, 8630 STORFORSHEI",https://www.yx.no/stasjon/yx-storforshei-10400254
CIRCLE K TRUCK RJUKAN,Circle K,59.879967,8.661676,"Svaddevegen 139, 3660, Rjukan",https://www.circlek.no/station/56207
Bunker Oil Brekke,Bunker Oil,61.011964,5.4619,", , ",https://bunkeroil.no/en/map-petrol-stations
CIRCLE K AUTOMAT NORDLI,Circle K,64.463448,13.591869,"Heggvollveien 1, 7882, Nordli",https://www.circlek.no/station/52484
CIRCLE K AUTOMAT TONSTAD,Circle K,58.665962,6.716552,"Tonstadvegen 17, 4440, Tonstad",https://www.circlek.no/station/52038
CIRCLE K AUTOMAT HAVØYSUND,Circle K,70.99502,24.673016,"Strandgata 139, 9690, Havøysund",https://www.circlek.no/station/54066
YX Røldal (automat),YX,59.8384,6.86419,"Liamyrene, 5760 RØLDAL",https://www.yx.no/stasjon/yx-r-ldal-automat-10400733
CIRCLE K AUTOMAT ENGERDAL,Circle K,61.758772,11.9602,"Engerdalsveien 1807, 2440, Engerdal",https://www.circlek.no/station/51248
YX Smøla (automat),YX,63.4589,8.05952,"Østsideveien 2333, 6570 SMØLA",https://www.yx.no/stasjon/yx-sm-la-automat-10400614
YX Fyresdal,YX,59.2033,8.08448,"Molandsmoen 4, 3870 FYRESDAL",https://www.yx.no/stasjon/yx-fyresdal-10400583
YX Sunndalsporten (automat),YX,62.5492,9.1154,"Fjellgardsvegen 2, 6613 GJØRA",https://www.yx.no/stasjon/yx-sunndalsporten-automat-10400605
CIRCLE K TORSTRAND,Circle K,59.046364,10.050885,"Storgata 150, 3262, Larvik",https://www.circlek.no/station/51709
YX Steinsdalen,YX,64.3025,10.5129,"Osenveien 44, 7740 STEINSDALEN",https://www.yx.no/stasjon/yx-steinsdalen-10400403
